fl_number,quantity,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,hole_punch,corners,actual_unit_price,calculated_unit_price,error_pct,direction,hp_cost,thermo_cost,poucher_cost,total_cost,labels_per_cycle,gear_teeth,no_across,no_around
FL-DL-1435,25000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,None,Standard,None,Rounded,0.14773,0.11946,19.14,UNDER,1084.52,616.45,1285.48,2986.45,8,288,1,8
FL-DL-1435,50000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,None,Standard,None,Rounded,0.14164,0.10951,22.68,UNDER,2126.35,1204.2,2144.92,5475.47,8,288,1,8
FL-DL-1435,100000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,None,Standard,None,Rounded,0.13833,0.10446,24.48,UNDER,4210.34,2379.9,3856.0,10446.24,8,288,1,8
FL-DL-1435,250000,4.5,5.0,2.0,MET PET,Soft Touch,Stand Up Pouch,None,Standard,None,Rounded,0.13559,0.10137,25.24,UNDER,10462.3,5906.98,8973.13,25342.42,8,288,1,8
FL-DL-1428,2500,3.0,5.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.25742,0.23717,7.87,UNDER,112.32,49.68,430.93,592.93,12,288,1,12
FL-DL-1428,6000,3.0,5.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.16649,0.13739,17.48,UNDER,209.08,83.15,532.09,824.32,12,288,1,12
FL-DL-1428,9000,3.0,5.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.14887,0.11452,23.07,UNDER,292.44,111.98,626.26,1030.68,12,288,1,12
FL-DL-1428,12000,3.0,5.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.13513,0.10574,21.75,UNDER,375.8,139.04,754.03,1268.87,12,288,1,12
FL-DL-1428,18000,3.0,5.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.12614,0.09711,23.02,UNDER,542.52,195.85,1009.56,1747.93,12,288,1,12
FL-DL-1428,24000,3.0,5.0,0,MET PET,Matte,3 Side Seal,CR Zipper,Standard,None,Rounded,0.11775,0.08852,24.83,UNDER,709.24,236.42,1178.74,2124.39,12,288,1,12
,2500,4.25,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,None,Rounded,0.38048,0.25951,31.79,UNDER,143.23,59.66,445.89,648.78,8,272,1,8
