est_no,fl_num,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,corners,gusset_detail,quantity,lt_price,calc_price,error_pct,abs_error_pct,has_addcost,layout_around,lt_around,layout_match,layout_gear,layout_repeat,stock_length,spoilage,c_substrate,c_priming,c_clicks,c_hp_makeready,c_hp_running,c_laminate,c_thermo_labor,c_zipper,c_poucher_labor,c_sealer,c_packaging
6489,FL-DL-1353 Cost Only,3.5,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,50000,0.13419,0.12178545843997896,-9.244013384023436,9.244013384023436,False,10,10,Y,280,35.0,16304.166666666666,0.087,1106.40075,101.738,584.7139999999999,31.25,462.220602526725,455.27754999999996,101.90104166666667,977.4214222500001,1524.6805555555557,50.869,692.8
6489,FL-DL-1353 Cost Only,3.5,4.5,2.0,MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,100000,0.13036,0.1180326507280592,-9.456389438432652,9.456389438432652,False,10,10,Y,280,35.0,32010.416666666664,0.082,2172.226875,199.745,1147.985,31.25,920.1287657920311,893.858875,200.06510416666666,1918.9982306249997,2833.534722222222,99.8725,1385.6
6483,FL-DL-1345 Cost Only,4.0,5.25,0.0,MET PET,Matte,2 Side Seal,None,Standard,Rounded,None,25000,0.12483,0.11652500183818594,-6.6530466729264255,6.6530466729264255,False,9,9,Y,288,36.0,9429.0,0.092,639.85194,58.83696,328.7578,31.25,258.0498866213152,263.295396,58.93125,0,898.3333333333335,29.41848,346.4
6483,FL-DL-1345 Cost Only,4.0,5.25,0.0,MET PET,Matte,2 Side Seal,None,Standard,Rounded,None,50000,0.11994,0.11099660537133789,-7.456557135786322,7.456557135786322,False,9,9,Y,288,36.0,18447.0,0.087,1251.81342,115.10928,643.1854,31.25,513.6621315192745,515.114028,115.29375,0,1614.0476190476193,57.55464,692.8
6483,FL-DL-1345 Cost Only,4.0,5.25,0.0,MET PET,Matte,2 Side Seal,None,Standard,Rounded,None,100000,0.11716,0.10801907198743765,-7.802089461046728,7.802089461046728,False,9,9,Y,288,36.0,36399.0,0.082,2470.0361399999997,227.12976,1269.1118,31.25,1022.5056689342405,1016.4056759999999,227.49375,0,3038.809523809524,113.56488,1385.6
6483,FL-DL-1345 Cost Only,4.0,5.25,0.0,MET PET,Matte,2 Side Seal,None,Standard,Rounded,None,250000,0.11539,0.10605274090169614,-8.091913595895543,8.091913595895543,False,9,9,Y,288,36.0,90078.0,0.077,6112.69308,562.08672,3140.7196,31.25,2544.0192743764173,2515.338072,562.9875000000001,0,7299.047619047618,281.04336,3464.0
6479,Thermo Laminator,3.5,4.5,0.0,MET PET,Gloss,3 Side Bottom Fill,CR Zipper,Standard,Straight,None,5000,0.20449,0.1894072651352041,-7.375781145677498,7.375781145677498,False,10,10,Y,280,35.0,1968.75,0.108,133.599375,12.285,70.60499999999999,31.25,47.19387755102041,49.14,14.765625,118.02494812500001,394.75,6.1425,69.28
6479,Thermo Laminator,3.5,4.5,0.0,MET PET,Gloss,3 Side Bottom Fill,CR Zipper,Standard,Straight,None,10000,0.15991,0.15040390349551586,-5.944654183280684,5.944654183280684,False,10,10,Y,280,35.0,3555.4166666666665,0.098,241.27057499999998,22.1858,127.50739999999999,31.25,93.45238095238095,88.7432,22.221354166666664,213.14431372500002,514.6111111111111,11.0929,138.56
6479,Thermo Laminator,3.5,4.5,0.0,MET PET,Gloss,3 Side Bottom Fill,CR Zipper,Standard,Straight,None,25000,0.13236,0.12708747678948074,-3.9834717516766918,3.9834717516766918,False,10,10,Y,280,35.0,8315.416666666666,0.092,564.284175,51.8882,298.21459999999996,31.25,232.22789115646256,207.5528,51.97135416666666,498.5024105249999,868.9513888888889,25.9441,346.4
6479,Thermo Laminator,3.5,4.5,0.0,MET PET,Gloss,3 Side Bottom Fill,CR Zipper,Standard,Straight,None,50000,0.11874,0.12044907553051701,1.4393427071896663,1.4393427071896663,False,10,10,Y,280,35.0,16205.0,0.087,1099.6713,101.1192,581.1576,31.25,462.2448979591837,404.4768,101.28125,971.4764619,1526.4166666666665,50.5596,692.8
6479,Thermo Laminator,3.5,4.5,0.0,MET PET,Gloss,3 Side Bottom Fill,CR Zipper,Standard,Straight,None,100000,0.10952,0.11689892602332824,6.737514630504232,6.737514630504232,False,10,10,Y,280,35.0,31911.25,0.082,2165.497425,199.12619999999998,1144.4286,31.25,920.1530612244898,796.5047999999999,199.4453125,1913.0532702750002,2835.270833333333,99.56309999999999,1385.6
6479,Thermo Laminator,3.5,4.5,0.0,MET PET,Gloss,3 Side Bottom Fill,CR Zipper,Standard,Straight,None,250000,0.10555,0.11458407721684943,8.559049944907086,8.559049944907086,False,10,10,Y,280,35.0,78884.16666666666,0.077,5353.0795499999995,492.2372,2829.0116,31.25,2289.6258503401355,1968.9488,493.02604166666663,4729.041106649999,6749.680555555556,246.1186,3464.0
6457,FL-DL-1315  Cost Only,3.0,5.5,0.0,MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,10000,0.14937,0.13467560622932426,-9.837580351259119,9.837580351259119,False,12,12,Y,288,36.0,3114.0,0.103,211.31604,19.43136,108.5748,31.25,78.34467120181405,86.95533599999999,23.355,186.68174652000002,452.57142857142856,9.71568,138.56
6457,FL-DL-1315  Cost Only,3.0,5.5,0.0,MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,20000,0.1305,0.11565698155281857,-11.373960495924468,11.373960495924468,False,12,12,Y,288,36.0,5847.0,0.098,396.77741999999995,36.485279999999996,203.8654,31.25,155.8106575963719,163.271628,36.54375,350.52285545999996,643.2499999999999,18.242639999999998,277.12
6457,FL-DL-1315  Cost Only,3.0,5.5,0.0,MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,40000,0.1231,0.10790976657705555,-12.339750952838711,12.339750952838711,False,12,12,Y,288,36.0,11277.0,0.092,765.25722,70.36848,393.1914,31.25,309.72222222222223,314.89894799999996,70.48125,676.0469028599999,1095.7500000000002,35.18424,554.24
6457,FL-DL-1315  Cost Only,3.0,5.5,0.0,MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,50000,0.12117,0.10645568993726351,-12.143525676930338,12.143525676930338,False,12,12,Y,288,36.0,14007.0,0.092,950.51502,87.40368000000001,488.37739999999997,31.25,387.10317460317464,391.131468,87.54374999999999,839.70816426,1323.25,43.701840000000004,692.8
6457,FL-DL-1315  Cost Only,3.0,5.5,0.0,MET PET,Matte,3 Side Top Fill,CR Zipper,Standard,Straight,None,100000,0.11769,0.10315653460070115,-12.348938226951187,12.348938226951187,False,12,12,Y,288,36.0,27534.0,0.087,1868.45724,171.81216,960.0188,31.25,770.5215419501134,768.859416,172.0875,1650.64072212,2450.5,85.90608,1385.6
6436,Cost Only,5.5,4.75,0.0,WHT MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,80000,0.26928,0.17849379989030106,-33.71442368898505,33.71442368898505,False,6,6,Y,264,33.0,40130.75,0.082,2723.272695,250.41588000000002,1526.4278,31.25,1226.986703772418,1120.6110629999998,250.8171875,2405.805555285,3510.2291666666665,125.20794000000001,1108.48
6436,Cost Only,5.5,4.75,0.0,WHT MET PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,K-Seal,105000,0.26691,0.17749627491357597,-33.499578541989436,33.499578541989436,False,6,6,Y,264,33.0,52525.0,0.082,3564.3464999999997,327.756,1997.8599999999997,31.25,1610.235003092146,1466.7080999999998,328.28125,3148.8306795,4543.083333333333,163.878,1454.8799999999999
6442,FL-DL-1232,6.0,8.0,0.0,MET PET,Matte,Stand Up Pouch,None,None,Rounded,K-Seal,5000,0.13443,0.21970757757641723,63.436418639007094,63.436418639007094,False,6,6,Y,288,36.0,3189.0,0.103,216.40554,19.899359999999998,111.18979999999999,31.25,78.34467120181405,89.04963599999999,23.9175,0,449.25170068027217,9.949679999999999,69.28
6442,FL-DL-1232,6.0,8.0,0.0,MET PET,Matte,Stand Up Pouch,None,None,Rounded,K-Seal,10000,0.12919,0.1821776325596372,41.01527406117904,41.01527406117904,False,6,6,Y,288,36.0,5922.0,0.098,401.86692,36.95328,206.4804,31.25,155.8106575963719,165.365928,37.0125,0,630.0000000000001,18.47664,138.56
