estimate,application,quantity,width,height,gusset,substrate,finish,seal_type,zipper,tear_notch,corners,cmykovg_colors,white_colors,actual_price,calc_price,error_pct,direction,hp_cost,thermo_cost,poucher_cost,total_cost,labels_per_cycle,gear_teeth,no_across,no_around,run_ft
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,25000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.17904,0.13605,24.01,UNDER,1084.52,616.45,1700.31,3401.28,8,288,1,8,9666.0
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,50000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.1711,0.12973,24.18,UNDER,2126.35,1204.2,3155.8,6486.35,8,288,1,8,19227.0
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,100000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.1679,0.12644,24.69,UNDER,4210.34,2379.9,6053.49,12643.72,8,288,1,8,38352.0
4957,Master Pricing Grid (H) / Core / 4.5W x 5H x 2D / 1148 / MET,250000,4.5,5.0,2.0,MET PET,Soft Touch,3 Side Seal,CR Zipper,Standard,Straight,4,1,0.16593,0.12435,25.06,UNDER,10462.3,5906.98,14719.07,31088.35,8,288,1,8,95727.0
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,5000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.33958,0.25466,25.01,UNDER,345.01,205.73,722.57,1273.3,5,260,1,5,2862.7
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,10000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.28819,0.21203,26.43,UNDER,647.78,368.04,1104.52,2120.35,5,260,1,5,5625.2
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,25000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.25151,0.19207,23.63,UNDER,1556.1,877.51,2368.06,4801.68,5,260,1,5,13912.7
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,50000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.23287,0.18515,20.49,UNDER,3069.98,1726.62,4460.69,9257.29,5,260,1,5,27725.2
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,100000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.22557,0.18149,19.54,UNDER,6097.72,3424.85,8626.06,18148.63,5,260,1,5,55350.2
4980,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,250000,6.5,5.0,2.0,CLR PET,Soft Touch,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.21861,0.17913,18.06,UNDER,15180.95,8519.53,21082.39,44782.87,5,260,1,5,138225.2
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,5000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.326,0.2391,26.66,UNDER,345.01,127.92,722.57,1195.5,5,260,1,5,2862.7
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,10000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.27543,0.19681,28.54,UNDER,647.78,215.81,1104.52,1968.12,5,260,1,5,5625.2
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,25000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.23926,0.17705,26.0,UNDER,1556.1,501.99,2368.06,4426.15,5,260,1,5,13912.7
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,50000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.22083,0.17019,22.93,UNDER,3069.98,978.96,4460.69,8509.62,5,260,1,5,27725.2
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,100000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.21367,0.16657,22.04,UNDER,6097.72,1932.89,8626.06,16656.67,5,260,1,5,55350.2
4977,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,250000,6.5,5.0,2.0,CLR PET,Matte,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.20681,0.16423,20.59,UNDER,15180.95,4794.69,21082.39,41058.02,5,260,1,5,138225.2
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,5000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.3185,0.23737,25.47,UNDER,345.01,119.28,722.57,1186.85,5,260,1,5,2862.7
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,10000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.26838,0.19512,27.3,UNDER,647.78,198.9,1104.52,1951.2,5,260,1,5,5625.2
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,25000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.2325,0.17538,24.57,UNDER,1556.1,460.27,2368.06,4384.43,5,260,1,5,13912.7
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,50000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.21418,0.16853,21.31,UNDER,3069.98,895.88,4460.69,8426.55,5,260,1,5,27725.2
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,100000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.20709,0.16491,20.37,UNDER,6097.72,1767.12,8626.06,16490.9,5,260,1,5,55350.2
4975,Master Pricing Grid (L) / Q / 6.5W x 5H x 2D / 1182 / CLR PE,250000,6.5,5.0,2.0,CLR PET,Gloss,Stand Up Pouch,CR Zipper,Standard,Straight,4,1,0.20029,0.16258,18.83,UNDER,15180.95,4380.82,21082.39,40644.15,5,260,1,5,138225.2
