fl_number,width,height,gusset,substrate,finish,seal_type,zipper,quantity,unit_price,known_unit_cost,residual,residual_pct,known_pct,click_cost_per_unit,priming_per_unit,hp_labor_per_unit,converting_per_unit,zipper_per_unit,no_across,no_around,stock_width,stock_length_ft,labels_per_cycle
FL-CQ-0486,3.5,4.25,2.5,,,Stand Up,Presto CR Zipper,50000,0.20292,0.10127394579673085,0.10164605420326914,50.09168845026076,49.90831154973924,0.014961812799999998,0.002799468,0.011027248096730854,0.055,0.0174854169,2,12,22.5,7406.0,24
FL-CQ-0486,3.5,4.25,2.5,,,Stand Up,Presto CR Zipper,100000,0.19201,0.10018063216341244,0.09182936783658754,47.825304846928574,52.174695153071426,0.0149052464,0.0027888840000000006,0.010001084863412451,0.055,0.0174854169,2,12,22.5,14756.0,24
FL-CQ-0486,3.5,4.25,2.5,,,Stand Up,Presto CR Zipper,250000,0.18467,0.0995246439834214,0.0851453560165786,46.10676125877436,53.893238741225645,0.01487130656,0.002782533600000001,0.009385386923421408,0.055,0.017485416899999995,2,12,22.5,36806.0,24
FL-CQ-0487,3.62,5.86,2.0,,,Stand Up,Presto CR Zipper,10000,0.3117,0.11363614561117806,0.1980638543888219,63.54310375002308,36.45689624997692,0.01679315,0.003704407437500001,0.020053671265678075,0.055,0.018084916908,2,11,27.94,1578.3854166666665,22
FL-CQ-0487,3.62,5.86,2.0,,,Stand Up,Presto CR Zipper,25000,0.24556,0.10706175643108523,0.13849824356891477,56.40097881125378,43.59902118874622,0.0164466808,0.0036279796630000003,0.013902179060085233,0.055,0.018084916908,2,11,27.94,3864.552083333333,22
FL-CQ-0487,3.62,5.86,2.0,,,Stand Up,Presto CR Zipper,50000,0.22004,0.10484878616654628,0.11519121383345374,52.35012444712495,47.64987555287505,0.016319406399999997,0.0035999041540000004,0.011844558704546274,0.055,0.018084916908,2,11,27.94,7669.291666666666,22
FL-CQ-0487,3.62,5.86,2.0,,,Stand Up,Presto CR Zipper,100000,0.20905,0.10374875319562919,0.10530124680437082,50.37132112144024,49.62867887855976,0.0162593046,0.0035866462747500003,0.0108178854128792,0.055,0.018084916908,2,11,27.94,15282.09375,22
FL-CQ-0487,3.62,5.86,2.0,,,Stand Up,Presto CR Zipper,250000,0.20154,0.10308615254853798,0.09845384745146202,48.85077277536073,51.14922722463927,0.01622182936,0.0035783795971000005,0.010201026683437989,0.055,0.018084916908000005,2,11,27.94,38117.17708333333,22
FL-CQ-0782,9.0,8.0,3.0,,,Stand Up,Presto CR Zipper,5000,0.7724,0.2769598462879136,0.4954401537120864,64.14295102435091,35.85704897564909,0.09029411599999998,0.012389454000000003,0.07431377568791363,0.055,0.04496250059999999,1,4,19.25,3831.0,4
FL-CQ-0782,9.0,8.0,3.0,,,Stand Up,Presto CR Zipper,10000,0.6406,0.26604423833423896,0.374555761665761,58.46952258285374,41.530477417146265,0.089693098,0.012306987000000002,0.06408165273423895,0.055,0.04496250059999999,1,4,19.25,7611.0,4
FL-CQ-0782,9.0,8.0,3.0,,,Stand Up,Presto CR Zipper,25000,0.56804,0.2594948735620341,0.3085451264379659,54.317499901057296,45.6825000989427,0.08933248719999999,0.012257506800000002,0.05794237896203414,0.055,0.0449625006,1,4,19.25,18951.0,4
FL-CQ-0782,9.0,8.0,3.0,,,Stand Up,Presto CR Zipper,50000,0.53852,0.2573117519712992,0.2812082480287008,52.21871945864607,47.78128054135393,0.0892122836,0.012241013400000002,0.055895954371299204,0.055,0.0449625006,1,4,19.25,37851.0,4
FL-CQ-0782,9.0,8.0,3.0,,,Stand Up,Presto CR Zipper,100000,0.51589,0.2562201911759317,0.25966980882406826,50.334336549277616,49.665663450722384,0.0891521818,0.012232766700000001,0.054872742075931735,0.055,0.0449625006,1,4,19.25,75651.0,4
FL-CQ-0782,9.0,8.0,3.0,,,Stand Up,Presto CR Zipper,250000,0.50447,0.2555652546987112,0.24890474530128875,49.33985079415798,50.66014920584202,0.08911612072,0.012227818680000002,0.05425881469871126,0.055,0.04496250059999999,1,4,19.25,189051.0,4
