vendor,fl_number,bag_desc,raw_size,substrate,finish,embellishment,fill_style,seal_type,gusset_type,zipper,tear_notch,hole_punch,corner_treatment,width,height,gusset,print_method,source_type,print_width,bag_area_sqin
ross,FL-DL-1142,,"8"" W X 7""H X 2.""G",MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,8.0,7.0,2.0,digital,spreadsheet,16.0,56.0
ross,FL-DL-1138,,"6"" W X 8""H X 2""G",MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,6.0,8.0,2.0,digital,spreadsheet,18.0,48.0
ross,FL-DL-1139,,"8"" W X 6""H X 2""G",MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,8.0,6.0,2.0,digital,spreadsheet,14.0,48.0
ross,FL-DL-1109,FL-DL-1109 3 Tall Pines,"4.5""W X 6.75""H",,None,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,4.5,6.75,0.0,digital,spreadsheet,13.5,30.375
ross,FL-DL-1115,,"2 "" W X 6.5"" H",MET PET,Matte Laminate,None,Bottom,3 Side Seal,None,No Zipper,Standard,Round,Straight,2.0,6.5,0.0,digital,spreadsheet,13.0,13.0
ross,FL-DL-1108,,"3.39""W X 5.5""H X 2G",,None,None,N/A,Stand Up,K Seal,Standard CR,Standard,Round,Straight,3.39,5.5,2.0,digital,spreadsheet,13.0,18.645
ross,FL-DL-1107,,"4""W X 6.5""H X 2G",,None,None,Seal Type: Stand UP,Stand Up,K Seal,Standard CR,Standard,Round,Straight,4.0,6.5,2.0,digital,spreadsheet,15.0,26.0
ross,FL-DL-1106,,"9.5""W X 13""H",,None,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,9.5,13.0,0.0,digital,spreadsheet,26.0,123.5
ross,FL-DL-1104,,"4.5""W X 6.5""H",,None,None,Bottom,3 Side Seal,None,Standard CR,Standard,None,Straight,4.5,6.5,0.0,digital,spreadsheet,13.0,29.25
ross,FL-DL-1074,,"5"" W X 5.5""H X 2"" G",Clear PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Rounded,5.0,5.5,2.0,digital,spreadsheet,13.0,27.5
ross,FL-DL-1003,,"2.5"" W X 7.25""H",MET PET/CLR PET,Matte Laminate,None,Top,3 Side Seal,None,Standard CR,Standard,None,Straight,2.5,7.25,0.0,digital,spreadsheet,14.5,18.125
ross,FL-DL-1038,,"5"" W X 8"" H X 2"" G",WHT MET PET,Soft Touch Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,5.0,8.0,2.0,digital,spreadsheet,18.0,40.0
ross,FL-DL-1001,,"4.5"" W X 6.5"" H X 2"" G",MET PET,Matte Laminate,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,4.5,6.5,2.0,digital,spreadsheet,15.0,29.25
ross,FL-DL-0999,,"3.75"" W X 4"" H X 2"" G",MET PET,Gloss Lam,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,None,Straight,3.75,4.0,2.0,digital,spreadsheet,10.0,15.0
ross,FL-DL-0998,,"4"" W X 7"" H X 2"" G",CLR PET,Gloss Holographic Lam,None,Top,Stand Up,K Seal & Skirt Seal,Standard CR,Standard,Round,Straight,4.0,7.0,2.0,digital,spreadsheet,16.0,28.0
